STRATUM_NAME,reg
3DORY-TOOTHRAKER,NA
BBV BUZZBAY/VIN,NA
CAPE FEAR,NA
CAPE HATTERAS,NA
CAPE HATTRAS,NA
CAPE LOOKOUT,NA
CAPE ROMAIN,NA
CASHES-JEFFREYS,NA
CCB CAPECOD BAY,NA
ECC EASTCAPECOD,NA
FRANKLIN BASIN,NA
FRANKLIN SWELL,NA
GEO CULTIVATOR,GEO
GEO EASTERN PART,GEO
GEO GT S CHANNEL,GEO
GEO LITTLE GEORG,GEO
GEO NOREAST PEAK,GEO
GEO NORTHRN EDGE,GEO
GEO SOUEAST PART,GEO
GEO SOUWEST PART,GEO
GEO SW PART,GEO
GEO WINTR FISHNG,GEO
GME BAY OF FUNDY,GME
GME C COD NAUSET,GME
GME CAPE ANN,GME
GME CAPE COD BAY,GME
GME CENTRAL,GME
GME E OF CAPECOD,GME
GME GT S CHANNEL,GME
GME MAINE,GME
GME MAINE COAST,GME
GME N HAMPSHIRE,GME
GME N OF GEORGES,GME
GME NW CENTRAL,GME
GME OFF BOSTON,GME
GME OFF CAPE ANN,GME
GME W CENTRAL,GME
GME W NOV SCOTIA,GME
GME WILKINSON,GME
JEFFREYS LEDGE,NA
LONG BAY,NA
MAB CHESAPEAKE B,MAB
MAB DELAWARE,MAB
MAB DELAWARE BAY,MAB
MAB LONG IS SD,MAB
MAB MARYLAND,MAB
MAB N CAROLINA,MAB
MAB N CAROLINIA,MAB
MAB NEW JERSEY,MAB
MAB OFF HATTERAS,MAB
MAB VIRGINIA,MAB
MASSBAY-TILLIES,NA
MSB MASS BAY,NA
NEWFOUND GROUND,NA
NTS NANTUCKETSD,NA
ONSLOW BAY,NA
Outside all existing strata,NA
PLATTS BANK,NA
RODGERS-HOWELL,NA
SCO BACCARO BANK,NA
SCO BROWNS BANK,NA
SCO LAHAVE BANK,NA
SCO LAHAVE BASIN,NA
SCO OFF BROWNS B,NA
SCO OFF SCO BANK,NA
SCO ROSEWAY BANK,NA
SCO ROSEWAYBASIN,NA
SCO S OF BACCARO,NA
SCO SCOTIAN BANK,NA
SCO SCOTIANSLOPE,NA
SCO SE OF LAHAVE,NA
SCO SW OFHALIFAX,NA
SNE BLOCK IS SD,SNE
SNE BLOCK ISLAND,SNE
SNE BUZZARDS BAY,SNE
SNE HUDSON CANYN,SNE
SNE LONG ISLAND,SNE
SNE MARTHAS VNYD,SNE
SNE NANTUCKET,SNE
SNE NANTUCKET SD,SNE
SNE NANTUCKET SH,SNE
SNE OFF CHATHAM,SNE
SNE RHODE ISLAND,SNE
WILDCAT KNOLL,NA
WILKINSON BASIN,NA
